Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Gap,Memory Used,LNS Time,LNS Calls,LNS Executions,LNS Sols Found,LNS Best Sols Found,GRASP Time,GRASP Calls,GRASP Sols Found,GRASP Best Sols Found,Best Sol At Node,Best Sol Found By
input1.csv,194,51,0.75,1580,0,32.233295,0.000000,358939566,7.666048,2,2,1,1,18.511333,1538,0,0,1539,lns
input2.csv,167,52,0.75,376,0,9.253176,0.000000,181643741,3.974846,1,1,1,1,3.324910,341,0,0,345,lns
input3.csv,180,50,0.75,764,0,11.255596,0.000000,254426411,0.000025,0,0,0,0,8.021156,763,0,0,764,relaxation
input4.csv,123,46,0.75,4704,0,228.726948,0.000000,414541075,200.207251,2,2,1,1,19.806218,4356,0,0,4700,relaxation
input5.csv,214,69,0.75,2115,0,253.374852,0.000000,636841991,200.276501,2,2,1,1,40.701986,2033,0,0,2111,relaxation
input6.csv,79,24,0.75,1,0,0.491329,0.000000,24624928,0.404499,1,1,1,1,0.001261,1,1,1,1,lns
input7.csv,84,29,0.75,61407,37759,400.024000,0.018237,2333646667,200.335976,7,7,1,1,85.544492,55935,0,0,50051,relaxation
input8.csv,166,46,0.75,2851,0,231.669466,0.000000,436461471,196.550318,1,1,1,1,23.236806,2838,0,0,2845,lns
input9.csv,104,35,0.75,1567,0,54.581356,0.000000,89153828,49.832794,2,2,1,1,2.057471,783,1,1,1,lns
input10.csv,113,31,0.75,3,0,0.729676,0.000000,47543461,0.537156,1,1,1,1,0.002963,1,1,1,1,lns
input11.csv,100,31,0.75,1,0,0.567051,0.000000,45349911,0.346344,1,1,1,1,0.002370,1,1,1,1,lns
input12.csv,115,37,0.75,1,0,1.755005,0.000000,61751241,1.485178,1,1,1,1,0.003577,1,1,1,1,lns
input13.csv,100,34,0.75,3459,0,45.388585,0.000000,122017693,34.962352,2,2,1,1,4.279648,1733,345,1,1,lns
input14.csv,99,28,0.75,37174,0,139.800340,0.000000,1350235013,15.373993,1,1,1,1,73.130404,36948,0,0,37174,lns
input15.csv,94,30,0.75,111,0,58.634192,0.000000,45447693,57.997184,2,2,1,1,0.123124,68,1,1,1,lns
input16.csv,89,28,0.75,1,0,0.365449,0.000000,32168443,0.231079,1,1,1,1,0.001724,1,1,1,1,lns
input17.csv,108,38,0.75,34668,31854,400.037226,0.019923,2272091045,200.232593,2,2,1,1,104.575640,33387,0,0,675,lns
input18.csv,121,38,0.75,1,0,4.318768,0.000000,71358326,3.875223,1,1,1,1,0.004125,1,1,1,1,lns
input19.csv,95,29,0.75,11,0,0.721914,0.000000,38837184,0.523906,1,1,1,1,0.018574,10,1,1,1,lns
input20.csv,104,37,0.75,58,0,19.709871,0.000000,64928411,19.136783,1,1,1,1,0.088887,31,0,0,32,lns
input21.csv,104,31,0.75,1377,0,7.582452,0.000000,85290759,3.628345,2,2,1,1,1.638736,693,15,1,46,lns
input22.csv,133,41,0.75,28632,28601,400.049082,0.048414,2293136858,200.048031,1,1,0,0,143.221747,28631,10,0,261,relaxation
input23.csv,118,35,0.75,1,0,1.069033,0.000000,66508361,0.620410,1,1,1,1,0.003762,1,1,1,1,lns
input24.csv,117,33,0.75,49274,2147,400.034632,0.002008,1662549746,200.220585,3,3,1,1,96.214935,30667,0,0,16473,relaxation
input25.csv,107,34,0.75,92,0,38.947666,0.000000,56532882,38.291133,1,1,1,1,0.259076,91,0,0,92,lns
input26.csv,114,38,0.75,35144,33110,400.038361,0.052402,2380750994,200.044161,1,1,0,0,123.483045,34555,0,0,19919,relaxation
input27.csv,125,39,0.75,717,0,11.175893,0.000000,125182229,6.560804,1,1,1,1,2.997430,715,0,0,717,lns
input28.csv,114,39,0.75,58758,8344,400.040255,0.001805,2266046631,200.126665,2,2,1,1,120.112861,34714,1,1,1,lns
input29.csv,103,39,0.75,1,0,50.687600,0.000000,56190279,50.391957,1,1,1,1,0.003162,1,1,1,1,lns
input30.csv,109,36,0.75,156,0,3.197485,0.000000,72499355,2.041889,1,1,1,1,0.476366,154,0,0,156,lns
input31.csv,113,40,0.75,147,0,1.871323,0.000000,81602877,0.690999,1,1,1,1,0.415141,113,0,0,114,lns
input32.csv,97,36,0.75,65246,3380,400.031156,0.002597,1779213932,200.194236,3,3,1,1,93.404599,39735,1,1,15520,relaxation
input33.csv,104,36,0.75,63277,3287,400.035464,0.002427,1901430717,200.117103,2,2,1,1,95.668664,35265,1,1,1,lns
input34.csv,161,54,0.75,897,0,16.989762,0.000000,242453288,5.283697,2,2,1,1,7.826994,845,0,0,839,lns
input35.csv,169,53,0.75,22957,4965,400.085549,0.001560,2021243441,200.202059,2,2,1,1,139.646660,14309,0,0,152,lns
input36.csv,185,60,0.75,680,0,14.775833,0.000000,273562003,3.155552,2,2,1,1,8.085429,614,0,0,611,lns
input37.csv,152,53,0.75,11883,0,113.436772,0.000000,1092674644,14.503540,2,2,1,1,72.692170,9068,0,0,6332,lns
input38.csv,62,22,0.75,1,0,0.411053,0.000000,16880642,0.363180,1,1,1,1,0.000801,1,1,1,1,lns
input39.csv,130,43,0.75,726,0,15.216724,0.000000,138248312,10.063024,2,2,1,1,3.167923,635,0,0,463,lns
input40.csv,126,42,0.75,34691,775,400.049404,0.002193,2180835403,200.794412,15,15,0,0,127.452702,28269,0,0,30919,relaxation
input41.csv,137,42,0.75,28144,27989,400.051939,0.047337,2265587879,200.049429,1,1,0,0,146.588273,28120,0,0,475,relaxation
input42.csv,142,35,0.75,228,0,6.906906,0.000000,102587288,4.676045,1,1,1,1,1.018145,209,0,0,228,lns
